Ward;Region;Registered Voters 2011;Registered Voters 2016;Registered Voters 2021;Turnout 20211;Turnout 2016;Turnout 2021;DA Ward Vote 2011;DA Ward Vote 2016;DA Ward Vote 2021;DA PR Vote 2011;DA PR Vote 2016;DA PR Vote 2021;ANC Ward Vote 2011;ANC Ward Vote 2016;ANC Ward Vote 2021;ANC PR Vote 2011;ANC PR Vote 2016;ANC PR Vote 2021;EFF Ward Vote 2011;EFF Ward Vote 2016;EFF Ward Vote 2021;EFF PR Vote 2011;EFF PR Vote 2016;EFF PR Vote 2021;ASA Ward Vote 2011;ASA Ward Vote 2016;ASA Ward Vote 2021;ASA PR Vote 2011;ASA PR Vote 2016;ASA PR Vote 2021;VF Plus Ward Vote 2011;VF Plus Ward Vote 2016;VF Plus Ward Vote 2021;VF Plus PR Vote 2011;VF Plus PR Vote 2016;VF Plus PR Vote 2021;Ward Status (LRW/MW/SW)
19;1;13 290;14 162;12834;8 174;8455;5536;257;719;211;298;670;188;5813;6577;3677;7415;6627;3862;-;875;719;-;831;641;-;-;201;-;-;258;7;3;5;3;5;5;
20;1;14 221;14 890;13802;7 133;8053;5522;1012;1358;350;980;1466;330;5633;4259;2782;5670;4449;2800;-;1484;1024;-;1488;1019;-;-;618;-;-;763;7;9;5;3;10;9;
21;1;14 011;14 376;13534;6 837;7700;5569;651;1408;226;642;1460;328;5580;4489;2611;5616;4534;2956;-;1534;708;-;1419;770;-;-;619;-;-;857;10;0;4;5;2;6;
22;1;11 692;12 533;13266;5 789;6302;5475;428;768;238;415;763;262;4909;4340;3266;5006;4299;2788;-;1023;902;-;1022;851;-;-;392;-;-;442;16;1;5;2;1;6;
23;6;11 110;11 672;12666;5 571;6060;5092;278;643;185;283;659;193;5070;4378;3501;5122;4409;3323;-;835;581;-;809;575;-;-;477;-;-;522;3;2;9;1;2;8;
24;1;13 771;14 516;14807;7 794;7887;5468;248;657;282;290;683;252;5589;6088;3853;6506;6085;4053;-;759;565;-;732;554;-;-;108;-;-;78;32;14;3;6;9;3;
25;1;14 119;12 062;12789;8 161;6588;4721;194;683;265;199;676;242;7524;4988;2960;7490;4895;3084;-;737;709;-;736;661;-;-;153;-;-;192;10;4;7;1;1;4;
26;1;11 378;12 538;12022;6 819;6896;4850;289;1112;334;292;1091;303;6134;4567;3006;6262;4599;3038;-;1005;861;-;954;809;-;-;250;-;-;315;3;3;7;2;0;7;
27;1;11 092;11 888;12056;6 244;5961;4951;241;1503;235;235;1359;225;5691;3875;2824;5758;3963;2611;-;417;605;-;422;570;-;-;232;-;-;367;6;3;29;1;2;8;
28;6;12 241;11 679;12168;6 422;6564;4856;377;810;238;384;803;218;5699;4261;2863;5753;4269;2481;-;1299;858;-;1260;806;-;-;481;-;-;432;0;4;12;0;1;16;
